Project Name,Package Name,Type Name,Code Smell
Proy_SoftTienda,com.soft.tienda.app,ServletInitializer,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.config,SwaggerConfig,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.controllers,ClienteController,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.controllers,ProductoController,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.controllers,ProveedorController,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioController,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.controllers,VentaController,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.controllers,UsuarioControllerTest,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.dto,ProductoDTO,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.dto.response,RespuestaServicioDTO,Unnecessary Abstraction
Proy_SoftTienda,com.soft.tienda.entities,Cliente,Unnecessary Abstraction
Proy_SoftTienda,com.soft.tienda.entities,DetalleVenta,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.entities,DetalleVenta,Broken Modularization
Proy_SoftTienda,com.soft.tienda.entities,Producto,Unnecessary Abstraction
Proy_SoftTienda,com.soft.tienda.entities,Producto,Broken Modularization
Proy_SoftTienda,com.soft.tienda.entities,Rol,Unnecessary Abstraction
Proy_SoftTienda,com.soft.tienda.entities,Rol,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.entities,Usuario,Broken Modularization
Proy_SoftTienda,com.soft.tienda.entities,Ventas,Unnecessary Abstraction
Proy_SoftTienda,com.soft.tienda.helpers,MapperHelper,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.repositories,ProductoRepository,Unnecessary Abstraction
Proy_SoftTienda,com.soft.tienda.repositories,UserRepositoryTest,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.services,ClienteService,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.services,ClienteServiceImpl,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.services,UsuarioService,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.services,UsuarioServiceImpl,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.services,ProductoServiceImplTest,Unutilized Abstraction
Proy_SoftTienda,com.soft.tienda.services,UsuarioServiceImplTest,Unutilized Abstraction
